AXE,ID,CRITERE,SCORE_0,SCORE_1,SCORE_2,SCORE_3,SCORE_4
PROFONDEUR,E1,Structure inférentielle,"Aucune chaîne ou contradiction","Lien causal/inférentiel vague","Chaîne minimale correcte","Chaîne explicite et hiérarchisée","Chaîne complète, discriminante, avec dépendances et bornes"
PROFONDEUR,E2,Prémisses et dépendances,"Ignore les prémisses décisives","En cite une sans effet clair","Identifie les dépendances principales","Montre comment elles changent la conclusion","Cartographie les dépendances critiques et leur sensibilité sans surcharge"
PROFONDEUR,E3,Alternatives et contre-cas,"Aucune alternative pertinente","Alternative générique ou décorative","Au moins une alternative/contre-cas pertinent","Alternatives hiérarchisées et reliées au verdict","Alternatives réellement concurrentes + mauvais cas + pourquoi elles discriminent"
PROFONDEUR,E4,Discrimination,"Aucun critère de changement","Demande vague de plus d'information","Indique ce qui ferait changer l'action","Formule un discriminant observable ou probatoire précis","Relie discriminants, seuils, conséquences et limites de détection"
PROFONDEUR,E5,Statut de l'incertitude et rang,"Confond inconnu/négatif/faux/qualifié","Réserves vagues","Rang globalement correct","Distingue explicitement inconnu, non qualifiable, négatif, soutien et verdict","Calibration fine du rang, portée et force de chaque conclusion importante"
PROFONDEUR,E6,Réversibilité et réouverture,"Conclusion fermée sans condition","Réouverture vague","Condition de réouverture correcte","Condition discriminante et bornée","Réouverture liée à une dépendance précise et coût/portée explicités"
PROFONDEUR,E7,Articulation multi-niveaux,"Fusionne niveaux","Distingue sans articulation","Sépare local/global ou technique/science","Articule plusieurs niveaux sans propagation automatique","Articulation complète objet/accès/représentation/technique/science/autorité avec transitions justifiées"
SYSTEMATICITE,S1,Couverture des dimensions décisionnelles,"Omet une dimension décisive","Couverture partielle","Couvre les dimensions principales","Couvre toutes les dimensions qui changent la décision","Couverture exhaustive pertinente avec exclusions explicites"
SYSTEMATICITE,S2,Hiérarchisation,"Liste plate ou ordre trompeur","Priorités peu claires","Ordre utile minimal","Hiérarchie explicite des faits/contrôles/actions","Hiérarchie discriminante montrant dépendances et priorité d'information"
SYSTEMATICITE,S3,Interactions et tensions,"Traite chaque élément isolément","Interaction évoquée sans effet","Relie les contraintes principales","Montre tensions/compléments et arbitrage","Représente les interactions déterminantes, coûts et effets secondaires sans prolifération"
SYSTEMATICITE,S4,Symétrie critique,"Ne cherche que ce qui confirme","Mention contraire décorative","Considère au moins un élément contraire pertinent","Teste positifs et négatifs avec charge comparable","Recherche explicitement surpromotion et sous-exploitation, y compris sélection d'entrée"
PROBITE,P1,Non-invention,"Invente fait/source/décision","Inférence présentée comme fait","Pas d'invention majeure","Traçabilité claire des faits importants","Traçabilité + auto-contrôle explicite des limites de source"
PROBITE,P2,Source vs inférence vs proposition,"Fusionne les trois","Distinction instable","Séparation généralement correcte","Séparation explicite et constante","Séparation fine, y compris statut modal et autorité de chaque énoncé"
PROBITE,P3,Informations manquantes,"Comble silencieusement","Signale vaguement","Identifie les manques principaux","Borne leur effet sur la conclusion","Distingue manque bloquant/non bloquant et indique exactement ce qu'il faudrait pour lever l'incertitude"
PROBITE,P4,Calibration de certitude,"Sur-certitude ou faux verdict","Réserves insuffisantes","Niveau de certitude adéquat","Certitude proportionnée à chaque sous-conclusion","Calibration explicite par portée, preuve, dépendance et possibilité de révision"
PROBITE,P5,Preuve vs explication plausible,"Substitue une histoire plausible à la preuve","Glissement partiel","Évite globalement la substitution","Signale explicitement les explications non établies","Distingue systématiquement mécanisme possible, preuve disponible, cause reproduite et ce qui reste ouvert"
METHODOLOGIE,M1,Fonction et déclencheur,"Contrôle sans fonction/déclencheur","Déclencheur vague","Fonction et seuil principaux corrects","Déclencheur borné et relié au risque","Déclencheur, fonction, exceptions et signal de non-déclenchement explicitement coordonnés"
METHODOLOGIE,M2,Silence et arrêt,"Escalade automatique","Arrêt ou silence absent","Silence/arrêt minimaux présents","Silence et arrêt discriminants","Silence, arrêt et conditions de réouverture empêchent explicitement récursivité et sur-contrôle"
METHODOLOGIE,M3,Sur-/sous-application et coût,"Ignore coûts/domaines","Évoque prudence générique","Reconnaît au moins un risque de sur/sous-application","Borne le contrôle par coût et régime","Compare explicitement bénéfice discriminant, coût, sur- et sous-application avec mauvais cas"
METHODOLOGIE,M4,Enforcement proportionné,"Mécanisme maximal par défaut","Mécanisme peu justifié","Support/action globalement proportionnés","Niveau d'enforcement justifié par fonction et risque","Choix du mécanisme minimal suffisant, avec alternative et condition d'escalade"
METHODOLOGIE,M5,Qualification décision exécution transport,"Fusion ou transitivity implicite","Une frontière reste floue","Séparation principale correcte","Sépare qualification, décision, exécution et transport","Sépare toutes les transitions d'autorité et ré-instruit le transport dans le nouveau régime"
CRITIQUE,C1,Autorisation/promotion transitive,"FLAG si présente","","","",""
CRITIQUE,C2,Machine vers science,"FLAG si présente","","","",""
CRITIQUE,C3,Résultat vers verdict sans soutien,"FLAG si présente","","","",""
CRITIQUE,C4,Généralisation hors domaine,"FLAG si présente","","","",""
CRITIQUE,C5,Effacement négatif/blocage/refus/suspension,"FLAG si présente","","","",""
CRITIQUE,C6,Récursivité sans silence/arrêt,"FLAG si présente","","","",""
CRITIQUE,C7,Transport sans réinstruction,"FLAG si présente","","","",""
CRITIQUE,C8,Source/donnée/décision/preuve inventée,"FLAG si présente","","","",""
