"ID_RELATION","REGLE_SOURCE","REGLE_CIBLE","TYPE_RELATION","DESCRIPTION","REGIME","SOURCES","STATUT_PROBATOIRE","ACTION_A_REALISER"
"REL-001","R-001","R-002","specialise","La séparation machine/science est rendue opératoire sur les rouges par l'obligation de reproduire la cause avant attribution au candidat.","computationnel","#119; #102; AGENTS","FORT","AUCUNE"
"REL-002","R-002","R-003","recouvrement_partiel","Localiser le système producteur et vérifier la validité probatoire du dispositif se recouvrent quand un harness/proxy peut produire lui-même le signal; les fonctions restent distinctes: cause du signal versus propriété réellement exercée.","computationnel/transformationnel","#94; #119; #82; #105-#107; #135","FORT_TRANSREGIME","CONSERVER_DISTINCTION_CAUSE_VS_VALIDITE_PROBATOIRE"
"REL-003","R-004","R-005","compose","Le routage/autorité et le statut documentaire doivent être traités séparément: un contenu valide peut ne plus être point d'entrée courant.","documentation","#125/#126","FORT","AUCUNE"
"REL-004","R-005","R-006","controle","Le double contre-factuel est un contrôle régional qui autorise une correction de statut sans mutation substantielle.","documentation","#127/#128","FORT_LOCAL","AUCUNE"
"REL-005","R-007","R-008","tension_fonctionnelle","Nom stable+Git favorise un état courant compact; checkpoints successifs préservent les transitions. Sans reconsolidation, la généalogie peut rendre le courant coûteux à retrouver.","documentation/reprise","#132; #133; #135 CT1/CT5","FORT","CONSERVER_DEUX_FONCTIONS_DISTINCTES_DANS_DES_SUPPORTS_COORDONNES"
"REL-006","R-008","R-009","supporte","Un ancrage de reprise n'est suffisant scientifiquement que s'il conserve aussi l'état vivant lorsque sa fonction est de représenter le programme scientifique.","science/reprise","#61 CT2; #132","FORT","INTEGRER_CONTINUITE_PROGRAMMATIQUE_DANS_CRITERE_DE_REPRISE"
"REL-007","R-009","R-010","declenche","La découverte de science vivante perdue a déclenché la réévaluation des critères d'audit des phases 3-9.","audit","#132 5345960749","FORT","AUCUNE"
"REL-008","R-010","R-011","controle_du_controle","Le second ordre a montré que le contre-audit lui-même devait tester la sélection d'entrée; #139 a exécuté cette passe et atteint une saturation historique fonctionnelle pour la découverte de familles.","audit","#132 5345984126; #118; #139 checkpoint saturation","FORT_ET_EXECUTE","AUCUNE_A_CE_STADE; REOUVRIR_SUR_ANOMALIE_DE_SELECTION"
"REL-009","R-011","R-012","complement","La passe indépendante contre la sélection complète la lecture exhaustive: l'une cherche des familles absentes, l'autre interdit d'exclure par surface dans un corpus défini.","audit","#130/#131/#132","FORT","MAINTENIR_DISTINCTION_CORPUS_DEFINI_VS_DECOUVERTE_DE_CORPUS"
"REL-010","R-012","R-013","tension_portee","Lecture exhaustive gouverne la couverture documentaire d'un corpus; triangulation ciblée gouverne l'approfondissement substantiel local. Les confondre produit soit surcoût soit angle mort.","audit","#130 validation et addendum","FORT","EXPLICITER_DANS_SYNTHESE_FINALE"
"REL-011","R-014","R-010","declenche_conditionnel","Un audit antérieur n'est réaudité de second ordre que si le contexte nouvellement remonté touche ses prémisses, exclusions, critères ou portée.","audit","#130/#131/#132","FORT","AUCUNE"
"REL-012","R-015","R-011","insuffisance","La symétrie critique sur positif/négatif ne protège pas contre un corpus d'entrée lui-même asymétrique; une passe indépendante est nécessaire pour cette classe de biais.","audit","#132 phase8","FORT","CONSERVER_COMME_LECON_DE_CONCEPTION"
"REL-013","R-016","R-023","specialise","La non-propagation automatique d'un état entre chantiers se traduit scientifiquement par activité!=qualification et par absence de transfert C7-C1↔C7-GAL.","science/transversal","#129; #124; #119/#120","FORT","AUCUNE"
"REL-014","R-017","R-018","specialise","La capture légère est un cas particulier de non-prolifération proportionnée: préserver l'idée sans lui créer nécessairement une identité autonome.","méthodologie","P28; #132; #135 CT5","FORT","AUCUNE"
