REPONSE,TACHE,AXE,ID,SCORE,NOTE
R1,M,PROFONDEUR,E1,4,
R1,M,PROFONDEUR,E2,4,
R1,M,PROFONDEUR,E3,4,
R1,M,PROFONDEUR,E4,4,
R1,M,PROFONDEUR,E5,4,
R1,M,PROFONDEUR,E6,4,
R1,M,PROFONDEUR,E7,4,
R1,M,SYSTEMATICITE,S1,4,
R1,M,SYSTEMATICITE,S2,3,
R1,M,SYSTEMATICITE,S3,4,
R1,M,SYSTEMATICITE,S4,4,
R1,M,PROBITE,P1,3,
R1,M,PROBITE,P2,4,
R1,M,PROBITE,P3,4,
R1,M,PROBITE,P4,4,
R1,M,PROBITE,P5,4,
R1,M,METHODOLOGIE,M1,4,
R1,M,METHODOLOGIE,M2,4,
R1,M,METHODOLOGIE,M3A,4,
R1,M,METHODOLOGIE,M3B,4,
R1,M,METHODOLOGIE,M4,4,
R1,M,METHODOLOGIE,M5,4,
R1,M,FONCTIONNEL,F1,4,
R1,M,FONCTIONNEL,F2,4,
R1,M,FONCTIONNEL,F3,3,
R1,M,FONCTIONNEL,F4,4,
R1,M,QM,QM1,2,Ne reconstruit pas explicitement le point crucial T0 requalifié puis branche ouverte après requalification; mobilise surtout des requalifications ultérieures.
R1,M,QM,QM2,4,
R1,M,QM,QM3,2,Reconnaît l'absence de test contrôlé du delta mais ne différencie pas clairement la force des quatre témoins T0.
R1,M,QM,QM4,4,Sous-correction et sur-correction comparées avec un mauvais cas concret; propose une réduction plus petite.
R1,M,QM,QM5,4,"Choix unique AMENDER_PUIS_RETESTER, alternative RETESTER_INCHANGE et discriminant explicites."
R1,M,QM,QM6,4,
R2,S,PROFONDEUR,E1,4,
R2,S,PROFONDEUR,E2,4,
R2,S,PROFONDEUR,E3,4,
R2,S,PROFONDEUR,E4,4,
R2,S,PROFONDEUR,E5,4,
R2,S,PROFONDEUR,E6,4,
R2,S,PROFONDEUR,E7,4,
R2,S,SYSTEMATICITE,S1,4,
R2,S,SYSTEMATICITE,S2,3,
R2,S,SYSTEMATICITE,S3,4,
R2,S,SYSTEMATICITE,S4,3,
R2,S,PROBITE,P1,3,
R2,S,PROBITE,P2,4,
R2,S,PROBITE,P3,4,
R2,S,PROBITE,P4,4,
R2,S,PROBITE,P5,4,
R2,S,METHODOLOGIE,M1,4,
R2,S,METHODOLOGIE,M2,3,
R2,S,METHODOLOGIE,M3A,3,
R2,S,METHODOLOGIE,M3B,3,
R2,S,METHODOLOGIE,M4,3,
R2,S,METHODOLOGIE,M5,4,
R2,S,FONCTIONNEL,F1,3,"Fonctions actives bien choisies, mais silences voisins laissés génériques."
R2,S,FONCTIONNEL,F2,3,Ancrage fait→fonction→qualification généralement explicite; justification des fonctions voisines silencieuses peu développée.
R2,S,FONCTIONNEL,F3,3,
R2,S,FONCTIONNEL,F4,4,
R2,S,RC,RC1,4,
R2,S,RC,RC2,4,
R2,S,RC,RC3,4,
R2,S,RC,RC4,4,
R2,S,QS,QS1,4,
R2,S,QS,QS2,4,
R2,S,QS,QS3,4,
R2,S,QS,QS4,4,Fenêtre dissipative correctement bornée comme phénoménologique; prescription phi² non universalisée.
R2,S,QS,QS5,4,
R2,S,QS,QS6,4,Dette microphysique identifiée et absence d'autorisation de nouveau calcul explicitement conservée.
R3,M,PROFONDEUR,E1,4,
R3,M,PROFONDEUR,E2,4,
