APPLIQUE_A,AXE,ID,CRITERE,SCORE_0,SCORE_1,SCORE_2,SCORE_3,SCORE_4
S+M,PROFONDEUR,E1,Structure inférentielle,"Aucune chaîne ou contradiction","Lien vague","Chaîne minimale correcte","Chaîne explicite et hiérarchisée","Chaîne complète et discriminante avec dépendances et bornes"
S+M,PROFONDEUR,E2,Prémisses et dépendances,"Ignore les prémisses décisives","En cite une sans effet","Identifie les dépendances principales","Montre comment elles changent la conclusion","Cartographie les dépendances critiques et leur sensibilité sans surcharge"
S+M,PROFONDEUR,E3,Alternatives et contre-cas,"Aucun contre-cas pertinent","Mention abstraite qu'une alternative existe","Caractérise au moins une alternative pertinente","Alternative ou mauvais cas relié à un discriminant réel","Alternatives réellement concurrentes et mauvais cas caractérisés avec raison précise de discrimination"
S+M,PROFONDEUR,E4,Discrimination,"Aucun critère de changement","Demande vague de plus d'information","Dit ce qui ferait changer l'action","Formule un discriminant observable/probatoire précis","Relie discriminant, seuil, conséquence et limite de détection"
S+M,PROFONDEUR,E5,Statut incertitude et rang,"Confond inconnu/négatif/faux/qualifié","Réserves vagues","Rang globalement correct","Distingue les statuts importants","Calibration fine par rang, portée et force de preuve"
S+M,PROFONDEUR,E6,Réversibilité de la conclusion,"Conclusion fermée sans condition","Réouverture vague","Condition correcte","Condition discriminante et bornée","Réouverture reliée à une dépendance précise et à ce que son changement modifierait"
S+M,PROFONDEUR,E7,Articulation multi-niveaux,"Fusionne niveaux","Distingue sans articulation","Sépare au moins deux niveaux","Justifie une transition inter-niveaux sans propagation automatique","Justifie au moins deux transitions inter-niveaux et refuse explicitement au moins une propagation plausible mais non soutenue"
S+M,SYSTEMATICITE,S1,Couverture décisionnelle,"Omet une dimension qui change le verdict","Couverture partielle","Couvre les dimensions principales","Couvre toutes les dimensions qui changent effectivement la décision","Même couverture + exclusions explicites de dimensions non déclenchées; remplir les rubriques ne suffit pas"
S+M,SYSTEMATICITE,S2,Priorité d'information,"Liste plate","Ordre rédactionnel sans priorité probatoire","Ordre utile minimal","Indique quel fait doit être établi d'abord","Hiérarchise explicitement les informations par pouvoir de décision: quoi établir d'abord et pourquoi"
S+M,SYSTEMATICITE,S3,Interactions et tensions,"Éléments isolés","Interaction évoquée","Relie contraintes principales","Montre tensions/compléments et arbitrage","Interactions déterminantes, coûts et effets secondaires représentés sans prolifération"
