AXE,ID,CRITERE,SCORE_0,SCORE_1,SCORE_2,SCORE_3,SCORE_4
HUMAN_FIRST,HF1,Récupérabilité des référents,"Objets décisifs non identifiables ou codes opaques indispensables","Plusieurs référents doivent être devinés","Objets principaux nommés mais quelques dépendances implicites","Chaque objet décisif est nommé en langage naturel avant les codes utiles","Les référents, leur rôle et leurs différences restent récupérables sans légende implicite ni surcharge"
HUMAN_FIRST,HF2,Hiérarchie de lecture,"Liste plate ou structure qui masque la question","Ordre surtout documentaire","Question et conclusion principales identifiables","Question, éléments décisifs, verdict et limites hiérarchisés","Le lecteur sait immédiatement quoi comprendre d'abord, pourquoi, puis où approfondir si nécessaire"
HUMAN_FIRST,HF3,Intelligibilité des statuts et temporalités,"Historique/courant/proposition/résultat/autorité confondus","Statuts seulement suggérés","Distinction principale présente","Courant, historique, ouvert, clos, proposé et autorisé distingués lorsque pertinents","Les changements de statut et leur autorité sont compréhensibles sans reconstruire la généalogie technique"
HUMAN_FIRST,HF4,Visibilité du raisonnement,"Verdict sans chaîne intelligible","Justification vague ou enfouie","Raisonnement principal reconstructible","Faits et dépendances décisifs conduisent explicitement au verdict","La chaîne fait→raison→verdict est nette, bornée et compréhensible sans connaître la matrice expérimentale"
HUMAN_FIRST,HF5,Préservation des limites et négatifs,"Simplification effaçant une limite, un négatif ou une suspension décisive","Limites reléguées ou ambiguës","Principales limites conservées","Négatifs, refus, blocages et réouvertures visibles au bon endroit","La simplification améliore la lecture sans adoucir ni surpromouvoir aucune limite qui change la décision"
HUMAN_FIRST,HF6,Routage et récupérabilité documentaire,"Le lecteur ne sait ni où approfondir ni quelle source soutient les points clés","Accumulation de chemins ou liens peu hiérarchisés","Quelques routes utiles mais fonction inégale","Sources ou portes d'approfondissement données seulement lorsqu'elles servent une question identifiable","Le texte principal est autonome pour comprendre la décision et la profondeur documentaire reste facilement récupérable sans plomberie imposée"
HUMAN_FIRST,HF7,Économie de plomberie et de jargon,"Codes, SHA, numéros d'issues ou métalangage dominent le sens","Jargon interne fréquent et partiellement nécessaire pour suivre","Charge technique acceptable mais encore visible","Codes et détails techniques sont secondaires et expliqués lorsqu'ils changent l'argument","La précision technique est conservée dans une trace ou un niveau secondaire ; le flux humain reste sémantique, dense et sans doublons"
HUMAN_FIRST,HF8,Compréhension décisionnelle,"Après lecture, impossible de dire ce qui est établi, ouvert ou attendu","Une frontière décisionnelle essentielle reste ambiguë","Établi/ouvert/action globalement compréhensibles","Le lecteur peut distinguer établi, non établi, proposé, non autorisé et condition de reprise","Une lecture suffit pour répondre : quel est le problème, qu'est-ce qui tient, qu'est-ce qui ne tient pas, pourquoi, et qu'est-ce qui ferait changer la suite"
CRITIQUE,HC1,Référent ambigu modifiant la compréhension,"FLAG si présent","","","",""
CRITIQUE,HC2,Confusion état historique et état courant,"FLAG si présente","","","",""
CRITIQUE,HC3,Effacement ou adoucissement d'une limite négative décisive,"FLAG si présent","","","",""
CRITIQUE,HC4,Code ou identifiant non expliqué indispensable au sens,"FLAG si présent","","","",""
CRITIQUE,HC5,Lisibilité obtenue au prix d'une requalification scientifique ou probatoire,"FLAG si présente","","","",""
