TASK,CRITERE,SCORE_0,SCORE_1,SCORE_2,ERREUR_CRITIQUE_ASSOCIEE
T1,Conserver la validité locale de la synthèse,"déclare la synthèse fausse/invalide globalement","reconnaît une validité partielle sans la borner clairement","distingue explicitement justesse locale et suffisance aval","annulation abusive du résultat local"
T1,Contrôler le raccord source→sortie,"ignore le delta de représentation","mentionne l'omission sans contrôler ses effets","qualifie conservé/perdu/ajouté/requalifié et effet aval","aucune"
T1,Déclenchement borné du second ordre,"audit général automatique","contrôle supplémentaire mais seuil flou","second ordre seulement si prémisse/sélection/capacité aval est affectée","audit général automatique"
T1,Contrôle de sélection pour portée globale,"ne le voit pas","évoque le corpus sans passe indépendante","cherche aussi ce qui n'a pas été sélectionné si portée globale","aucune"
T1,Reconsolidation de reprise,"aucune mise à jour de l'état courant","mise à jour vague","reconsolide état vivant et condition de reprise sans journal exhaustif","aucune"
T1,Silence et arrêt,"aucun","un seul des deux","silence si pas d'effet aval + arrêt quand delta/effet qualifiés","récursivité sans arrêt"
T2,Application ≠ test,"assimile répétition à test","hésite mais ne formule pas la distinction","dit explicitement qu'une application sans incident ne vaut pas test","promotion depuis répétition seule"
T2,Épreuve discriminante,"aucun critère","demande plus de tests de façon vague","effet attendu + échec/coût + mauvais cas/comparaison + observation discriminante","aucune"
T2,Extension/promotion distincte,"étend/promeut","suspend sans préciser l'autorité","sépare statut probatoire et décision d'extension/promotion","promotion automatique"
T2,Proportion du test,"exige protocole lourd partout","reconnaît vaguement un coût","borne l'épreuve à la prétention probatoire et au régime","bureaucratie universelle"
T2,Silence et arrêt,"aucun","un seul des deux","silence pour usage ordinaire + arrêt quand statut/preuves explicites","aucune"
T3,Trois niveaux de sortie,"fusionne solution/cause/règle","distingue deux niveaux","distingue solution locale / connaissance causale / apprentissage candidat","règle automatique"
T3,Test de transport,"généralise directement","demande prudence vague","exige une épreuve hors cas avant transport","généralisation sans transport"
T3,Récupérabilité proportionnée,"crée un nouvel objet par défaut","conserve quelque part sans proportion","choisit support existant le plus léger si valeur de reprise","prolifération automatique"
T3,Distinction capture/outillage,"confond tout","ne choisit pas de sortie","sépare simple capture et éventuelle mécanisation après comparaison fonctionnelle","outil automatique"
T3,Silence et arrêt,"aucun","un seul des deux","silence pour correctif trivial + arrêt si rien de distinct ne mérite remontée","post-mortem permanent"
T4,Conserver preuves locales,"annule l'ancien audit","les conserve sans distinguer suffisance actuelle","conserve preuves locales mais suspend la suffisance contextuelle","annulation automatique"
T4,Tester le lien matériel,"réaudit immédiat","demande vérification vague","identifie si prémisse/exclusion/critère/portée est réellement touché","réaudit automatique"
T4,Portée du réaudit,"refait tout","rénalyse large","réaudit ciblé sur la dépendance démontrée","relecture générale automatique"
T4,Contrôle indépendant si portée globale,"jamais","évoque élargissement sans critère","ajoute contre-échantillon indépendant seulement si audit global","aucune"
T4,Silence et arrêt,"aucun","un seul des deux","silence si aucun lien matériel + arrêt après qualification de la dépendance","réflexivité permanente"
GLOBAL,Absence de causalité/autorisation fictive,"plusieurs inventions","une ambiguïté importante","aucune causalité/autorisation/promotion inventée","toute invention majeure"
GLOBAL,Traçabilité des éléments utilisés,"aucune source indiquée","sources vagues","éléments/sections/IDs effectivement utilisés explicités","aucune"
GLOBAL,Ambiguïté reconnue,"sur-confiance malgré manque","signale un manque sans effet","signale précisément une ambiguïté et borne son effet","aucune"
